instance,inicio_local,fim_local,inicio_utc,fim_utc,duracao_segundos,duracao_minutos
1.1.1.1,2026-09-06 09:46:09 -0300,2026-09-06 09:46:09 -0300,2026-09-06 12:46:09 UTC,2026-09-06 12:46:09 UTC,60,1.0
1.1.1.1,2026-09-06 09:49:09 -0300,2026-09-06 09:49:09 -0300,2026-09-06 12:49:09 UTC,2026-09-06 12:49:09 UTC,60,1.0
1.1.1.1,2026-09-06 09:54:09 -0300,2026-09-06 09:54:09 -0300,2026-09-06 12:54:09 UTC,2026-09-06 12:54:09 UTC,60,1.0
8.8.8.8,2026-09-06 09:57:09 -0300,2026-09-06 09:58:09 -0300,2026-09-06 12:57:09 UTC,2026-09-06 12:58:09 UTC,120,2.0
8.8.8.8,2026-09-06 10:06:09 -0300,2026-09-06 10:08:09 -0300,2026-09-06 13:06:09 UTC,2026-09-06 13:08:09 UTC,180,3.0
8.8.8.8,2026-09-06 10:32:09 -0300,2026-09-06 10:33:09 -0300,2026-09-06 13:32:09 UTC,2026-09-06 13:33:09 UTC,120,2.0
1.1.1.1,2026-09-06 10:33:09 -0300,2026-09-06 10:33:09 -0300,2026-09-06 13:33:09 UTC,2026-09-06 13:33:09 UTC,60,1.0
8.8.8.8,2026-09-06 10:36:09 -0300,2026-09-06 10:36:09 -0300,2026-09-06 13:36:09 UTC,2026-09-06 13:36:09 UTC,60,1.0
1.1.1.1,2026-09-06 10:38:09 -0300,2026-09-06 10:38:09 -0300,2026-09-06 13:38:09 UTC,2026-09-06 13:38:09 UTC,60,1.0
8.8.8.8,2026-09-06 10:39:09 -0300,2026-09-06 10:41:09 -0300,2026-09-06 13:39:09 UTC,2026-09-06 13:41:09 UTC,180,3.0
1.1.1.1,2026-09-06 15:10:09 -0300,2026-09-06 15:10:09 -0300,2026-09-06 18:10:09 UTC,2026-09-06 18:10:09 UTC,60,1.0
8.8.8.8,2026-09-06 15:56:09 -0300,2026-09-06 15:58:09 -0300,2026-09-06 18:56:09 UTC,2026-09-06 18:58:09 UTC,180,3.0
1.1.1.1,2026-09-06 17:00:09 -0300,2026-09-06 17:00:09 -0300,2026-09-06 20:00:09 UTC,2026-09-06 20:00:09 UTC,60,1.0
8.8.8.8,2026-09-06 17:00:09 -0300,2026-09-06 17:03:09 -0300,2026-09-06 20:00:09 UTC,2026-09-06 20:03:09 UTC,240,4.0
8.8.8.8,2026-09-06 17:06:09 -0300,2026-09-06 17:07:09 -0300,2026-09-06 20:06:09 UTC,2026-09-06 20:07:09 UTC,120,2.0
1.1.1.1,2026-09-06 17:07:09 -0300,2026-09-06 17:11:09 -0300,2026-09-06 20:07:09 UTC,2026-09-06 20:11:09 UTC,300,5.0
8.8.8.8,2026-09-06 17:10:09 -0300,2026-09-06 17:11:09 -0300,2026-09-06 20:10:09 UTC,2026-09-06 20:11:09 UTC,120,2.0
1.1.1.1,2026-09-06 17:23:09 -0300,2026-09-06 17:25:09 -0300,2026-09-06 20:23:09 UTC,2026-09-06 20:25:09 UTC,180,3.0
8.8.8.8,2026-09-06 17:24:09 -0300,2026-09-06 17:26:09 -0300,2026-09-06 20:24:09 UTC,2026-09-06 20:26:09 UTC,180,3.0
8.8.8.8,2026-09-06 17:29:09 -0300,2026-09-06 17:37:09 -0300,2026-09-06 20:29:09 UTC,2026-09-06 20:37:09 UTC,540,9.0
1.1.1.1,2026-09-06 17:33:09 -0300,2026-09-06 17:36:09 -0300,2026-09-06 20:33:09 UTC,2026-09-06 20:36:09 UTC,240,4.0
1.1.1.1,2026-09-06 17:41:09 -0300,2026-09-06 17:41:09 -0300,2026-09-06 20:41:09 UTC,2026-09-06 20:41:09 UTC,60,1.0
8.8.8.8,2026-09-06 17:42:09 -0300,2026-09-06 17:42:09 -0300,2026-09-06 20:42:09 UTC,2026-09-06 20:42:09 UTC,60,1.0
8.8.8.8,2026-09-06 17:45:09 -0300,2026-09-06 17:53:09 -0300,2026-09-06 20:45:09 UTC,2026-09-06 20:53:09 UTC,540,9.0
1.1.1.1,2026-09-06 17:51:09 -0300,2026-09-06 17:51:09 -0300,2026-09-06 20:51:09 UTC,2026-09-06 20:51:09 UTC,60,1.0
8.8.8.8,2026-09-06 18:01:09 -0300,2026-09-06 18:03:09 -0300,2026-09-06 21:01:09 UTC,2026-09-06 21:03:09 UTC,180,3.0
1.1.1.1,2026-09-06 18:02:09 -0300,2026-09-06 18:03:09 -0300,2026-09-06 21:02:09 UTC,2026-09-06 21:03:09 UTC,120,2.0
1.1.1.1,2026-09-06 18:06:09 -0300,2026-09-06 18:08:09 -0300,2026-09-06 21:06:09 UTC,2026-09-06 21:08:09 UTC,180,3.0
8.8.8.8,2026-09-06 18:07:09 -0300,2026-09-06 18:09:09 -0300,2026-09-06 21:07:09 UTC,2026-09-06 21:09:09 UTC,180,3.0
1.1.1.1,2026-09-06 18:14:09 -0300,2026-09-06 18:14:09 -0300,2026-09-06 21:14:09 UTC,2026-09-06 21:14:09 UTC,60,1.0
8.8.8.8,2026-09-06 18:15:09 -0300,2026-09-06 18:15:09 -0300,2026-09-06 21:15:09 UTC,2026-09-06 21:15:09 UTC,60,1.0
1.1.1.1,2026-09-06 18:18:09 -0300,2026-09-06 18:18:09 -0300,2026-09-06 21:18:09 UTC,2026-09-06 21:18:09 UTC,60,1.0
8.8.8.8,2026-09-06 18:21:09 -0300,2026-09-06 18:31:09 -0300,2026-09-06 21:21:09 UTC,2026-09-06 21:31:09 UTC,660,11.0
1.1.1.1,2026-09-06 18:25:09 -0300,2026-09-06 18:25:09 -0300,2026-09-06 21:25:09 UTC,2026-09-06 21:25:09 UTC,60,1.0
1.1.1.1,2026-09-06 18:31:09 -0300,2026-09-06 18:31:09 -0300,2026-09-06 21:31:09 UTC,2026-09-06 21:31:09 UTC,60,1.0
8.8.8.8,2026-09-06 18:46:09 -0300,2026-09-06 18:46:09 -0300,2026-09-06 21:46:09 UTC,2026-09-06 21:46:09 UTC,60,1.0
1.1.1.1,2026-09-07 02:26:09 -0300,2026-09-07 02:26:09 -0300,2026-09-07 05:26:09 UTC,2026-09-07 05:26:09 UTC,60,1.0
8.8.8.8,2026-09-07 05:06:09 -0300,2026-09-07 05:06:09 -0300,2026-09-07 08:06:09 UTC,2026-09-07 08:06:09 UTC,60,1.0
1.1.1.1,2026-09-07 05:07:09 -0300,2026-09-07 05:07:09 -0300,2026-09-07 08:07:09 UTC,2026-09-07 08:07:09 UTC,60,1.0
8.8.8.8,2026-09-07 08:06:09 -0300,2026-09-07 08:07:09 -0300,2026-09-07 11:06:09 UTC,2026-09-07 11:07:09 UTC,120,2.0
8.8.8.8,2026-09-07 09:44:09 -0300,2026-09-07 09:45:09 -0300,2026-09-07 12:44:09 UTC,2026-09-07 12:45:09 UTC,120,2.0
8.8.8.8,2026-09-07 09:54:09 -0300,2026-09-07 09:54:09 -0300,2026-09-07 12:54:09 UTC,2026-09-07 12:54:09 UTC,60,1.0
